date,sku_id,warehouse_id,forecast_units
2025-12-29,SKU0341,WH07,33.31515217747112
2025-12-29,SKU0349,WH11,23.892728651699098
2025-12-29,SKU0351,WH11,21.781420335283897
2025-12-29,SKU0042,WH10,73.91100125077601
2025-12-29,SKU0327,WH02,27.618836798495124
2025-12-29,SKU0667,WH10,11.07698263058442
2025-12-29,SKU0584,WH03,20.2703980203529
2025-12-29,SKU0074,WH11,5.544532052908617
2025-12-29,SKU0478,WH08,240.38160284436228
2025-12-29,SKU0334,WH09,13.566890063790462
2025-12-29,SKU0345,WH11,23.912963882076465
2025-12-29,SKU0042,WH09,75.18264826959991
2025-12-29,SKU0186,WH01,107.30585986927585
2025-12-29,SKU0474,WH11,242.9244410281873
2025-12-29,SKU0349,WH04,33.119817293958505
2025-12-29,SKU0669,WH10,18.083212197911177
2025-12-29,SKU0039,WH08,25.035552246576884
2025-12-29,SKU0319,WH02,114.29348648123445
2025-12-29,SKU0588,WH08,15.6450787232166
2025-12-29,SKU0477,WH12,49.95344573216902
2025-12-29,SKU0580,WH02,79.50626602722635
2025-12-29,SKU0322,WH06,32.08892915276228
2025-12-29,SKU0630,WH06,167.8444181677329
2025-12-29,SKU0191,WH12,19.570174631567568
2025-12-29,SKU0328,WH01,48.737679597751765
2025-12-29,SKU0084,WH02,87.24036415554087
2025-12-29,SKU0588,WH05,15.643208504029584
2025-12-29,SKU0070,WH09,14.027196330113442
2025-12-29,SKU0347,WH01,20.158676400113187
2025-12-29,SKU0194,WH11,14.928705513020017
2025-12-29,SKU0593,WH09,9.870381412315172
2025-12-29,SKU0583,WH05,381.9030258950361
2025-12-29,SKU0085,WH01,53.973559321575905
2025-12-29,SKU0332,WH12,39.21543677427212
2025-12-29,SKU0334,WH02,28.787794256895854
2025-12-29,SKU0581,WH09,20.615492208509828
2025-12-29,SKU0079,WH04,109.80585168026563
2025-12-29,SKU0335,WH09,7.352351185815952
2025-12-29,SKU0594,WH12,78.0386590690752
2025-12-29,SKU0340,WH07,74.03509274958853
2025-12-29,SKU0191,WH05,17.262802141541325
2025-12-29,SKU0321,WH05,26.787317574614566
2025-12-29,SKU0080,WH04,99.03902117443971
2025-12-29,SKU0069,WH07,24.411788337974023
2025-12-29,SKU0185,WH04,450.86502641875575
2025-12-29,SKU0478,WH01,449.67515724252314
2025-12-29,SKU0477,WH05,83.14512743193447
